-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2021 ,,,,,,,
Location: Latitude  17.2576   Longitude -97.6823 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2173.34 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
T2M                    MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) ,,,,,,,
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,T2M,RH2M,WS10M,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT
2021,1,1,12.53,46.31,2.72,102.51,96.54
2021,1,2,13.45,66.31,3.02,101.77,101.66
2021,1,3,14.76,76.06,2.03,102.89,99
2021,1,4,15.08,74.56,1.35,99.77,88.79
2021,1,5,14.01,78.38,3.28,97.28,76.94
2021,1,6,14.35,80.62,2.23,99.98,82.79
2021,1,7,13.21,81.62,2.98,93.1,74.77
2021,1,8,12.79,75.38,2.3,98.48,73.66
2021,1,9,12.19,79.69,2.52,99.94,60.02
2021,1,10,13.43,79.06,2.43,100.98,71.95
2021,1,11,12.59,79.06,3.03,99.7,63.49
2021,1,12,13.04,67.25,2.8,102.96,92.72
2021,1,13,13.18,70.31,2.98,102.78,86.83
2021,1,14,14.65,66.38,1.77,100.22,77.66
2021,1,15,14.67,70.56,2.35,101.72,73.52
2021,1,16,12.65,76.69,3.19,104.8,76.98
2021,1,17,14.01,79.69,2.4,98.88,65.47
2021,1,18,14.07,74.62,2.73,104.7,87.2
2021,1,19,14.61,69.38,2.98,101.71,91.09
2021,1,20,14.19,82.94,5.26,104.38,70.83
2021,1,21,15.11,67.06,2.75,106.09,105.92
2021,1,22,16.41,59.44,1.72,105.94,104.77
2021,1,23,16.05,66.12,1.77,102.44,82.05
2021,1,24,15.26,68.88,1.94,104.86,73.13
2021,1,25,14.88,65.06,2.81,109.26,107.73
2021,1,26,16.51,56.56,1.42,110.21,109.66
2021,1,27,16.47,63.56,4.21,103.7,101.71
2021,1,28,11.84,83.38,8.45,112.27,71.45
2021,1,29,11.42,78.38,6.12,112.61,105.91
2021,1,30,13.49,64.88,1.88,110.23,108.65
2021,1,31,15.04,63.25,3.85,109.8,110.04
2021,2,1,11.19,80,8.41,108.84,78.18
2021,2,2,11.08,65.62,4.38,117.09,116.38
2021,2,3,14.6,53.44,1.77,114.34,114.88
2021,2,4,16.49,59.19,1.29,114.95,115.16
2021,2,5,17.87,51.25,1.78,117.45,116.18
2021,2,6,17.01,64.5,2.96,115.44,113.41
2021,2,7,16.33,69.56,2.84,113.24,108.46
2021,2,8,17.44,69.44,2.61,114.68,112.66
2021,2,9,17.12,68.69,1.48,116.42,105.23
2021,2,10,15.55,74.62,1.92,114.38,96.34
2021,2,11,15.62,65.62,2.97,118.23,112.89
2021,2,12,14.12,67.44,3.11,112.14,110.62
2021,2,13,12.18,64.19,4.13,120.02,119.54
2021,2,14,12.32,55.12,3.78,121.63,121.6
2021,2,15,13.61,31.62,2.69,120.51,118.48
2021,2,16,12.23,42.31,3.46,122.77,119.7
2021,2,17,13.69,38.75,3.78,125.57,122.35
2021,2,18,15.27,28.81,2.62,122.01,122.17
2021,2,19,9.94,64.81,5.97,122.87,118.68
2021,2,20,12.47,55.94,3.2,121.07,120.12
2021,2,21,15.23,48.31,2.6,124.81,125.05
2021,2,22,16.24,55.69,3.42,120.18,116.63
2021,2,23,15.37,69.19,4.39,121.48,110.72
2021,2,24,16.17,61.75,2.78,122.76,122.93
2021,2,25,16.28,60,2.49,123.92,122.08
2021,2,26,18.18,60.38,1.73,124.6,122.38
2021,2,27,18.79,59,1.37,123.47,118.7
2021,2,28,19.69,55.81,1.41,122.75,121.81
2021,3,1,19.63,55.81,1.86,123.23,121.98
2021,3,2,15.92,68.06,4.69,116.34,99.38
2021,3,3,16.38,56.75,2.66,123.37,118.69
2021,3,4,16.76,52.12,2.65,123.28,122.13
2021,3,5,18.38,47.5,1.87,127.12,126.49
2021,3,6,16.56,67.88,4.48,123.97,116.41
2021,3,7,15.83,58.19,4.05,124.98,113.23
2021,3,8,14.15,66.5,5.21,125.9,116.49
2021,3,9,14.48,62.19,4.58,132,131.03
2021,3,10,16.36,50.94,1.86,130.48,128.74
2021,3,11,18.12,59.81,1.68,127.88,124.19
2021,3,12,18.33,57.94,2.52,127.14,127.01
2021,3,13,18.15,56.56,2.02,130.18,128.79
2021,3,14,18.76,52.81,1.79,134.37,125.27
2021,3,15,19.44,46.5,1.27,131.96,127.96
2021,3,16,19.3,50.5,2.53,133.07,127.79
2021,3,17,18.87,56.94,2.23,136.41,127.62
2021,3,18,16.14,61.12,4.91,124.95,100.76
2021,3,19,13.79,61.38,5.84,134.14,132.25
2021,3,20,14.11,55.81,4.7,134.68,133.25
2021,3,21,16.62,49.81,1.91,130.8,116.3
2021,3,22,18.01,60.25,2.55,135.23,119.84
2021,3,23,18.59,52.69,3.18,138.62,133.95
2021,3,24,18.43,48.12,3.16,141.51,141.98
2021,3,25,18.89,49.56,1.87,142.87,143.42
2021,3,26,19.2,49.69,2.28,140.04,138.46
2021,3,27,19.76,45.69,1.66,140.15,140.33
2021,3,28,19.62,52,3.87,138.54,138.62
2021,3,29,16.94,64.75,5.71,137.68,113.13
2021,3,30,18.3,57.56,2.47,136.5,133.35
2021,3,31,19.48,57.75,2.92,134.98,134.43
2021,4,1,13.95,69.38,8.8,131.3,102.8
2021,4,2,13.9,72.81,8.68,138.7,107.63
2021,4,3,15.56,61.06,4.76,145.25,139.28
2021,4,4,15.14,50.56,3.58,143.69,134.18
2021,4,5,15.84,56.75,1.8,136.45,114.82
2021,4,6,16.66,70.31,2.17,134.41,98.07
2021,4,7,18.22,63.19,1.95,136.8,126.57
2021,4,8,19.84,56.06,1.2,140.19,127.73
2021,4,9,19.03,58.06,2.71,139.25,108.86
2021,4,10,19.21,51.12,2.36,142.66,128.88
2021,4,11,20.69,47.69,1.9,143.45,129.07
2021,4,12,21.4,44.69,1.25,145.07,140.1
2021,4,13,20.46,44.5,1.87,140.21,131.63
2021,4,14,20.17,49.94,1.84,123.38,106.02
2021,4,15,20.44,56,1.69,122.2,101.45
2021,4,16,20.9,42.75,2.48,135.34,123.68
2021,4,17,19.54,39.62,2.89,137.97,130.87
2021,4,18,19.97,40.44,2.71,141.75,137.98
2021,4,19,18.72,49,3.59,143.86,138.88
2021,4,20,19.59,49.88,2.23,146.93,145.77
2021,4,21,19.17,62.38,3.1,134.65,118.88
2021,4,22,19.71,57.94,2.6,133.05,116.09
2021,4,23,20.51,56.06,2.38,138.88,120.23
2021,4,24,20.49,49.44,2.73,132.27,120.59
2021,4,25,20.51,50.56,3,131.82,127.47
2021,4,26,21.03,51.25,2.27,127.93,125.31
2021,4,27,21.69,52.19,1.68,129.95,119.7
2021,4,28,21.4,50.69,2.6,128.93,111.27
2021,4,29,21,52.25,2.2,137.02,123.27
2021,4,30,20.4,61.62,2.02,131.84,106.95
2021,5,1,17.98,69.62,2.59,129.3,104.52
2021,5,2,18.98,64,3.23,134.47,117.88
2021,5,3,18.18,59.25,4.82,145.07,141.04
2021,5,4,19.19,59.5,3.18,146.89,133.18
2021,5,5,19.56,59.5,3.39,118.29,99.3
2021,5,6,17.76,72.69,3.73,124.46,95.33
2021,5,7,17.28,65.94,5.19,135.4,113.16
2021,5,8,18.27,58.5,2.66,142.11,127.41
2021,5,9,19.19,70.12,1.11,139.04,93.6
2021,5,10,19.73,70.81,1.07,134.34,94.83
2021,5,11,19.42,73,1.72,133.51,101.04
2021,5,12,17.76,78.44,2.37,134.78,115.58
2021,5,13,16.23,74.75,5.68,135.2,87.05
2021,5,14,16.77,73.75,5.48,143.96,96.46
2021,5,15,17.51,72.75,3.35,144,127.7
2021,5,16,17.55,76.94,1.2,136.32,90.09
2021,5,17,18.75,74.12,1.8,146.6,122.43
2021,5,18,18.76,74.25,1.32,146.7,136.06
2021,5,19,18.39,69.44,2.81,146.14,130.28
2021,5,20,18.31,66.38,1.55,138.95,122.3
2021,5,21,18.51,66.38,2.08,139.95,108.23
2021,5,22,19.24,63.38,2.66,146.03,136.19
2021,5,23,18.38,68.56,2.92,144.88,126.88
2021,5,24,18.35,69.31,2.32,146.23,121.96
2021,5,25,18.57,71.75,2.79,146.19,130
2021,5,26,17.98,74.75,4.19,146.68,119.88
2021,5,27,18.4,70.88,2.9,144.12,123.18
2021,5,28,18.78,75.69,1.27,142.42,110.06
2021,5,29,19.33,73.44,1.39,143.31,123.94
2021,5,30,19.01,75,2.34,142.47,122.76
2021,5,31,18.56,73.12,2.33,140.47,116.28
2021,6,1,18.73,71.19,2.9,143.98,120.61
2021,6,2,18.75,70,2.25,145.07,112.94
2021,6,3,16.65,73.56,1.91,142.07,87.91
2021,6,4,18,79.75,1.84,134.95,89.64
2021,6,5,17.12,86.19,0.81,139.02,87.58
2021,6,6,18.13,75.19,1.38,143.31,108.23
2021,6,7,19.09,64.81,1.79,143.88,122.8
2021,6,8,18.35,77.62,2.8,141.81,118.82
2021,6,9,17.2,82.5,2.84,143.27,105.27
2021,6,10,15.62,81.56,2.45,142.06,88.2
2021,6,11,16.02,82,2.52,142.07,64.11
2021,6,12,15.85,86.81,1.29,141.77,73.15
2021,6,13,15.62,90,1.28,146.28,102.8
2021,6,14,16.62,86.62,1.95,147.91,88.64
2021,6,15,15.98,82.88,3.39,144.59,42.85
2021,6,16,15.77,80.25,4.59,146.33,99.48
2021,6,17,15.69,82.81,3.92,146.59,70.48
2021,6,18,14.58,88.88,3.9,151.4,45.52
2021,6,19,16,81.56,3.16,150.16,110.27
2021,6,20,17.72,76.5,0.99,146.81,112.67
2021,6,21,17.99,83.94,2.45,149.38,112.81
2021,6,22,17.93,83.75,1.32,152.25,109.3
2021,6,23,17.23,85,2.84,147.05,108.23
2021,6,24,16.08,84.62,3.85,146.94,91.74
2021,6,25,15.38,85.19,2.18,146.5,69.44
2021,6,26,15.98,82.62,2.59,147.12,107.12
2021,6,27,15.46,82.94,2.62,147.92,76.68
2021,6,28,15.62,84.31,2.38,146.43,83.12
2021,6,29,16.17,83.19,2.59,144.64,98.11
2021,6,30,15.65,86.31,1.52,143.25,92.13
2021,7,1,15.48,89.31,2.02,141.85,84.82
2021,7,2,15.95,88.25,1.23,143.08,83.28
2021,7,3,16.31,86.06,1.81,145.61,92.45
2021,7,4,18.12,78.44,1.17,145.77,117.16
2021,7,5,18.52,78.12,1.45,147.3,129.98
2021,7,6,18.25,79.19,1.53,143.71,111.45
2021,7,7,16.15,86.31,2.42,143.7,87.16
2021,7,8,16.95,84.5,1.89,145.71,92.42
2021,7,9,17.8,84.25,1.71,142.83,116.73
2021,7,10,16.3,84.25,2.73,142.09,128.71
2021,7,11,15.19,83.81,4.08,140.96,122.55
2021,7,12,15.76,85.25,4.09,141.35,106.41
2021,7,13,15.32,83.38,5.7,139.31,111.82
2021,7,14,13.75,86.75,6.29,141.07,73.52
2021,7,15,14.65,87.25,4,141.02,80.56
2021,7,16,15.36,81.62,2.78,140.31,116.25
2021,7,17,15.74,77,3.2,144.3,130.89
2021,7,18,15.5,82.38,3.84,144.05,117.84
2021,7,19,15.78,81.5,3.34,147.23,131.95
2021,7,20,17.03,77.12,3.65,146.88,133.52
2021,7,21,16.52,83.25,3.53,143.73,119.58
2021,7,22,16.33,83.38,4.42,140.35,127.8
2021,7,23,14.87,83.94,5.12,141.41,111.51
2021,7,24,15.78,77.56,3.01,146.68,139.79
2021,7,25,16.91,79,2.48,146.11,137.02
2021,7,26,16.7,74.62,1.41,146.44,110.77
2021,7,27,16.98,78.12,2.72,146.5,129.99
2021,7,28,16.68,79.06,2.98,143.73,127.36
2021,7,29,16.26,82.06,4.27,143.13,112.59
2021,7,30,16.01,85.31,4.96,142.55,70.99
2021,7,31,16.15,81.88,4.34,148.7,115.1
2021,8,1,16.43,81.06,3.15,145.02,120.18
2021,8,2,17.12,83.31,2.35,145.63,124.88
2021,8,3,16.66,84.81,2.59,144.06,119.12
2021,8,4,16.26,84.25,3.1,142.3,93.3
2021,8,5,16.67,84.12,2.95,139.66,104.11
2021,8,6,16.6,84,3.02,140.84,105.09
2021,8,7,15.06,86.25,3.54,140.48,112.95
2021,8,8,16.27,83.38,2.5,142.91,91.83
2021,8,9,16.26,81.75,3.1,146.45,109.25
2021,8,10,15.6,86.69,3.46,139.23,99.34
2021,8,11,15.7,79.62,3.18,144.16,134.55
2021,8,12,16.33,76.56,2.33,143.01,121.07
2021,8,13,15.89,81.69,3.01,141.91,110.71
2021,8,14,16.38,81.81,3.26,143.85,120.72
2021,8,15,16.45,81.81,2.88,144.59,123.51
2021,8,16,16.95,81.94,1.89,143.7,116.21
2021,8,17,16.73,85.25,2.12,142.15,102.8
2021,8,18,17.51,84.12,2.66,143.18,115.11
2021,8,19,17.06,75.75,2.82,142.81,129.2
2021,8,20,16.51,77.56,2.87,140.16,102.58
2021,8,21,16.2,90.69,4.2,143.63,68.44
2021,8,22,15.62,90.25,4.73,137.62,70.01
2021,8,23,14.79,83.75,5.73,139.16,84.06
2021,8,24,14.65,87.81,5.28,134.42,63.69
2021,8,25,15.33,85.75,6.62,135.73,85.3
2021,8,26,15.3,82.75,5.84,132.4,76.23
2021,8,27,14.59,86.19,2.78,141.04,55.53
2021,8,28,15.23,85.81,2.14,140.62,85.95
2021,8,29,16.6,87.12,0.98,137.46,90.54
2021,8,30,16.37,88,2.25,139.41,99.12
2021,8,31,16.07,87.62,2.12,134.9,79.09
2021,9,1,16.59,83.75,1.35,136.68,94.34
2021,9,2,16.64,88,1.32,138.06,93.18
2021,9,3,16.58,86.38,1.51,136.74,93.15
2021,9,4,16.09,87.19,2.73,137.85,111.51
2021,9,5,16.83,84.5,1.97,139.52,84.23
2021,9,6,16.01,83.31,1.25,137.94,103.2
2021,9,7,16.39,87.44,1.62,135.12,97.11
2021,9,8,16.57,88.12,1.12,136.36,102.3
2021,9,9,16,85.12,2.58,130.23,97.99
2021,9,10,15.48,84.62,3.9,135.88,101.63
2021,9,11,14.65,84.75,4.73,131.8,79.55
2021,9,12,14.61,87.56,3.59,136.66,61.69
2021,9,13,15.21,86,3.49,139.21,83.24
2021,9,14,16.25,86.94,2.41,140.1,112.05
2021,9,15,18.1,81.81,0.92,141.88,119.61
2021,9,16,18.22,82.69,0.84,137.23,105.88
2021,9,17,17.33,87.06,1.02,135,101.77
2021,9,18,16.23,88.19,1.88,132.62,87.91
2021,9,19,16.23,86.88,1.71,131.94,95.51
2021,9,20,17.05,81.88,1.55,132,111.9
2021,9,21,16.19,81.31,3.23,134.66,113.34
2021,9,22,14.78,86.31,5.86,132.15,92.66
2021,9,23,14.7,83.31,4.44,131.16,104.48
2021,9,24,15.35,87.06,3.03,131.09,93.73
2021,9,25,15.41,85.06,3.84,127.87,91.25
2021,9,26,15.01,85.81,3.62,130.2,104.85
2021,9,27,16.49,80.06,1.38,131.82,117.57
2021,9,28,17.05,85.06,1.27,131.97,105.25
2021,9,29,16.89,86.06,1.15,131.88,89.58
2021,9,30,16.26,91,1.35,129.06,97.07
2021,10,1,17.3,84,1.39,123,104.94
2021,10,2,16.55,81.56,2.8,124.84,110.01
2021,10,3,15.55,86.56,2.96,126.01,97.98
2021,10,4,15.46,85.75,3.15,127.89,110.09
2021,10,5,15.5,85.75,3.56,129.12,118.07
2021,10,6,15.19,86.31,4.41,126.09,98.34
2021,10,7,14.41,82.62,4.85,129.95,122.93
2021,10,8,13.57,87.75,5.11,126.42,53.98
2021,10,9,15.53,88.19,3.83,123.2,66.86
2021,10,10,17.19,80.75,1.68,128.9,120.79
2021,10,11,18.3,77.25,1.13,129.02,121.59
2021,10,12,17.23,80.69,1.9,126.45,121.25
2021,10,13,17.78,79.19,1.73,128.14,117.85
2021,10,14,17.94,75.06,1.48,122.84,115.04
2021,10,15,15.76,75.56,2.56,121.44,120.43
2021,10,16,14.12,84.12,5.27,123.73,92.41
2021,10,17,14.38,87.81,5.69,121.02,59.36
2021,10,18,14,86.25,3.68,122,88.73
2021,10,19,15.04,81.94,2.45,116.16,92.34
2021,10,20,14.14,87.06,3.48,117.45,96.18
2021,10,21,14.38,90.56,4.23,112.84,59.55
2021,10,22,14.18,89.81,2.87,118.95,60.99
2021,10,23,14.56,89.19,2.2,118.15,55.02
2021,10,24,15.65,81.25,2.3,121.16,113.48
2021,10,25,16.87,82.38,1.45,119.48,97.81
2021,10,26,17.83,84.44,1.79,118.26,101.91
2021,10,27,17.66,82,2.16,118.98,114.88
2021,10,28,16.54,86.19,3,113.71,91.95
2021,10,29,13.22,85.75,3.38,117.76,97.35
2021,10,30,14.51,83.25,1.5,118.55,93.1
2021,10,31,15.96,80.75,0.98,114.19,93.62
2021,11,1,13.62,75.56,2.48,115.48,113.52
2021,11,2,10.61,72.06,3.93,115.45,115.71
2021,11,3,13.33,73.25,2.27,114.53,105.39
2021,11,4,13.6,81,2.15,110.28,97.09
2021,11,5,12.66,84.06,5.39,112.74,102.62
2021,11,6,12.99,84.62,5.26,115.46,104.62
2021,11,7,12.65,83.12,5.16,111.84,88.02
2021,11,8,11.55,78,4.02,114.31,113.16
2021,11,9,10.5,77.31,4.38,113.99,105.62
2021,11,10,12.3,71.06,1.81,112.71,111.97
2021,11,11,13.8,79.94,2.31,111.59,101.81
2021,11,12,10.86,78.62,3.71,108.68,97.79
2021,11,13,10.83,80.94,5.9,111.84,94.3
2021,11,14,11.15,82.81,5.1,109.57,91.38
2021,11,15,9.88,73.75,4.47,110.69,109.89
2021,11,16,11.4,68.5,2.59,111.95,106.66
2021,11,17,13.83,74.69,1.24,108.99,101.95
2021,11,18,14.29,81.06,2.18,106.88,101.18
2021,11,19,12.69,86.5,6.27,105.66,69.12
2021,11,20,12.65,84.94,5.1,107.2,79.64
2021,11,21,13.69,83.88,3.62,107.72,97.39
2021,11,22,13.51,86.75,4.48,102.14,83.73
2021,11,23,12.91,83,5.24,105.06,70.06
2021,11,24,13.68,76.75,1.75,105.93,103.02
2021,11,25,13.88,73.12,2.2,103.67,103.73
2021,11,26,11.32,79.5,4.9,103.28,101.12
2021,11,27,13.26,74.12,2.33,105.04,105.52
2021,11,28,14.61,68.44,2.21,101.47,73.65
2021,11,29,12.9,82.69,4.87,101.29,76.24
2021,11,30,12.8,75.19,3.43,103.59,98.47
2021,12,1,13.29,75.25,2.7,104.32,102.11
2021,12,2,12.12,78.44,4.79,101.83,99.23
2021,12,3,12.19,71.88,3.72,103.49,99.83
2021,12,4,12.9,74.56,3.23,103.95,103.76
2021,12,5,14.11,72.94,1.92,102.77,101.62
2021,12,6,15.44,73.75,1.44,103.2,102.3
2021,12,7,14.28,73.44,2.74,101.08,101.43
2021,12,8,15.17,71.94,1.6,98.66,98.71
2021,12,9,15.45,71.81,0.97,97.59,96.51
2021,12,10,15.93,61.81,0.73,99.73,99.52
2021,12,11,15.23,65.12,1.87,97.66,97.16
2021,12,12,13.58,79.69,4.45,97.23,80.59
2021,12,13,13.19,78.19,4.53,101.27,73.8
2021,12,14,13,78.19,4.63,98.73,97.84
2021,12,15,13.49,73.75,4.22,100.07,98.68
2021,12,16,13.88,70.31,2.49,99.41,94.12
2021,12,17,14.51,74.25,1.56,99.63,77.5
2021,12,18,15.87,69,1.35,100.84,96.63
2021,12,19,16.07,69.06,1.29,98.72,87.85
2021,12,20,15.83,79.69,1.52,99.93,88.11
2021,12,21,15.2,77.94,1.2,99.68,75.61
2021,12,22,15.23,72.75,1.42,101.98,99.29
2021,12,23,14.58,71.38,2.13,100.05,99.46
2021,12,24,14.57,49.56,1.59,101.95,101.77
2021,12,25,15.24,71.62,1.78,100.68,100.3
2021,12,26,14.86,60.75,1.42,98.97,98.91
2021,12,27,15.67,75.62,2.41,99.33,98.3
2021,12,28,14.71,72.38,3.08,102.81,101.51
2021,12,29,14.23,54.06,1.94,104.28,104.84
2021,12,30,15.04,42.44,1.74,103.4,102.62
2021,12,31,14.83,56.25,1.74,103.5,102.77
